,cwgp_combination,result
185,"(('sal', 1), ('sa', 3), ('sal', 3))","(0.002989644377563248, 0.004016512139898628)"
186,"(('sal', 1), ('sa', 3), ('box_cox', 1))","(0.005810256709611641, 0.006294927890093814)"
187,"(('sal', 1), ('sa', 3), ('box_cox', 2))","(0.005609530675224299, 0.00613063410809803)"
188,"(('sal', 1), ('sa', 3), ('box_cox', 3))","(0.0032583796584520247, 0.004221233529500427)"
189,"(('sal', 1), ('sal', 2), ('sa', 1))","(0.0049524089619994915, 0.00559625303177294)"
190,"(('sal', 1), ('sal', 2), ('sa', 2))","(0.004564386241680033, 0.005284367813472934)"
191,"(('sal', 1), ('sal', 2), ('sa', 3))","(0.005723763416879373, 0.006254467659949651)"
192,"(('sal', 1), ('sal', 2), ('sal', 3))","(0.009436823414804887, 0.009620523008881941)"
193,"(('sal', 1), ('sal', 2), ('box_cox', 1))","(0.004246194180403502, 0.0051024791633701855)"
194,"(('sal', 1), ('sal', 2), ('box_cox', 2))","(0.003017851309600139, 0.0039232012203267615)"
195,"(('sal', 1), ('sal', 2), ('box_cox', 3))","(0.00299589166620094, 0.0036854902286512898)"
196,"(('sal', 1), ('sal', 3), ('sa', 1))","(0.0029937105507029304, 0.004060184354304949)"
197,"(('sal', 1), ('sal', 3), ('sa', 2))","(0.004401055436305721, 0.005155067204065291)"
198,"(('sal', 1), ('sal', 3), ('sa', 3))","(0.003932945877885318, 0.004800026628013128)"
199,"(('sal', 1), ('sal', 3), ('sal', 2))","(0.00378187768666222, 0.004726270246752629)"
200,"(('sal', 1), ('sal', 3), ('box_cox', 1))","(0.0022862879998638602, 0.0031254936479241276)"
201,"(('sal', 1), ('sal', 3), ('box_cox', 2))","(0.0031504252783999065, 0.003688079665999352)"
202,"(('sal', 1), ('sal', 3), ('box_cox', 3))","(0.005477462019183136, 0.005946020277277265)"
203,"(('sal', 1), ('box_cox', 1), ('sa', 1))","(0.005109195866062157, 0.005701347598749996)"
204,"(('sal', 1), ('box_cox', 1), ('sa', 2))","(0.005103227857298743, 0.005697591952494273)"
